aardvark	rdvrk
airforce	rfrc
airily	rly
airline	rln
airmail	rml
airplane	rpln
airport	rprt
airship	rshp
airtightly	rtghtly
alarm	lrm
alarmedly	lrmdly
alarmingly	lrmngly
alb	lb
albatross	lbtrss
alcohol	lchl
alcove	lcv
alder	ldr
aldermanly	ldrmnly
alertly	lrtly
algebra	lgbr
allegedly	llgdly
allenarly	llnrly
allergist	llrgst
alliably	llbly
allicholly	llchlly
alligator	llgtr
allowably	llwbly
allowedly	llwdly
alluringly	llrngly
allusively	llsvly
almanac	lmnc
almightily	lmghtly
alodially	ldlly
aloofly	lfly
alpaca	lpc
alpenglow	lpnglw
alpenhorn	lpnhrn
alpha	lph
alphabet	lphbt
alpinely	lpnly
alterably	ltrbly
alternately	ltrntly
alternative	ltrntv
altitude	lttd
alto	lt
aluminium	lmnm
amateurishly	mtrshly
amazingly	mzngly
ambassador	mbssdr
ambiguously	mbgsly
ambition	mbtn
ambitiously	mbtsly
amblingly	mblngly
ambrosially	mbrslly
ambulance	mblnc
amenably	mnbly
amendment	mndmnt
americanly	mrcnly
amicably	mcbly
amorously	mrsly
amorphously	mrphsly
amount	mnt
amphibiously	mphbsly
amphiboly	mphbly
amusedly	msdly
amusement	msmnt
amusingly	msngly
amusively	msvly
anaerobically	nrbclly
anagogically	nggclly
anagram	ngrm
analgesia	nlgs
anally	nlly
analogously	nlgsly
analogue	nlg
analogy	nlgy
analysis	nlyss
analyst	nlyst
anatomically	ntmclly
anatomy	ntmy
anciently	ncntly
anerly	nrly
aneurismally	nrsmlly
angerly	ngrly
angiomegaly	ngmgly
angiosperm	ngsprm
angle	ngl
anglicanly	nglcnly
angora	ngr
angstrom	ngstrm
anguish	ngsh
anguishously	ngshsly
angularly	nglrly
animal	nml
animally	nmlly
animatedly	nmtdly
animately	nmtly
animatingly	nmtngly
anisocotyly	nsctyly
ankle	nkl
anklet	nklt
annoyingly	nnyngly
annual	nnl
annularly	nnlrly
anodically	ndclly
anomalously	nmlsly
anomaly	nmly
anonymously	nnymsly
anorak	nrk
answer	nswr
answerably	nswrbly
anteater	nttr
antechamber	ntchmbr
antelope	ntlp
anthony	nthny
anticly	ntcly
antidotally	ntdtlly
antimonopoly	ntmnply
antiquarianly	ntqrnly
antiquely	ntqly
antler	ntlr
antrorsely	ntrrsly
ants	nts
anxiety	nxty
anybody	nybdy
anything	nythng
anywhere	nywhr
aoristically	rstclly
apagogically	pggclly
apartment	prtmnt
aperiodically	prdclly
aperitif	prtf
apertly	prtly
aphetically	phtclly
aphylly	phylly
apishly	pshly
apogamically	pgmclly
apogamously	pgmsly
apology	plgy
apometaboly	pmtbly
apparatus	pprts
apparel	pprl
apparently	pprntly
appealingly	pplngly
appearance	pprnc
appeasably	ppsbly
appendix	ppndx
appetently	pptntly
applaudably	ppldbly
applause	ppls
applewood	pplwd
appliably	pplbly
appliance	pplnc
applicably	pplcbly
application	pplctn
appliedly	ppldly
appointment	ppntmnt
appositively	ppstvly
appreciably	pprcbly
approval	pprvl
approvedly	pprvdly
appulsively	pplsvly
apron	prn
apsidally	psdlly
aptly	ptly
aquatically	qtclly
aquifer	qfr
arabesquely	rbsqly
arbitrarily	rbtrrly
arboreally	rbrlly
arcadianly	rcdnly
arch-rival	rch-rvl
archaically	rchclly
archeology	rchlgy
archer	rchr
architect	rchtct
architecture	rchtctr
arctically	rctclly
arcuately	rctly
ardently	rdntly
arduously	rdsly
areologically	rlgclly
argument	rgmnt
argutely	rgtly
arithmetic	rthmtc
arm-rest	rm-rst
armadillo	rmdll
armament	rmmnt
armchair	rmchr
armoire	rmr
army	rmy
aromatically	rmtclly
arrantly	rrntly
arrival	rrvl
arrogantly	rrgntly
arrow	rrw
arterially	rtrlly
artfully	rtflly
artichoke	rtchk
article	rtcl
articulately	rtcltly
artificer	rtfcr
artificially	rtfclly
artlessly	rtlssly
ascot	sct
aseptically	sptclly
asexually	sxlly
ash	sh
ashamedly	shmdly
ashram	shrm
ashtray	shtry
ask	sk
askingly	skngly
asparagus	sprgs
aspect	spct
asperously	sprsly
aspersively	sprsvly
asphalt	sphlt
aspiringly	sprngly
assembly	ssmbly
assertively	ssrtvly
assertorily	ssrtrly
assessably	ssssbly
assidually	ssdlly
assiduously	ssdsly
assignably	ssgnbly
assignment	ssgnmnt
assishly	ssshly
assist	ssst
assistance	ssstnc
assistant	ssstnt
associate	ssct
association	ssctn
associatively	ssctvly
assumedly	ssmdly
assumingly	ssmngly
assumption	ssmptn
assuredly	ssrdly
assuringly	ssrngly
astely	stly
asterisk	strsk
astrakhan	strkhn
astrolabe	strlb
astrologer	strlgr
astrology	strlgy
astronomy	strnmy
astuciously	stcsly
astutely	sttly
atelier	tlr
athenianly	thnnly
athlete	thlt
athletics	thltcs
atmosphere	tmsphr
atom	tm
atomically	tmclly
atonally	tnlly
atoningly	tnngly
atrium	trm
atrociously	trcsly
attachedly	ttchdly
attachment	ttchmnt
attack	ttck
attempt	ttmpt
attendant	ttndnt
attention	ttntn
attentively	ttntvly
attently	ttntly
attic	ttc
attitude	tttd
attorney	ttrny
attraction	ttrctn
attunely	ttnly
audience	dnc
auditorially	dtrlly
auditorily	dtrly
auditorium	dtrm
augmentedly	gmntdly
augustly	gstly
auntly	ntly
aureously	rsly
auriculately	rcltly
aurorally	rrlly
austerely	strly
authenticly	thntcly
authorisation	thrstn
authority	thrty
authorization	thrztn
authorly	thrly
autoeciously	tcsly
autogenously	tgnsly
automatically	tmtclly
automaton	tmtn
autonomically	tnmclly
autonomously	tnmsly
autoptically	tptclly
autostyly	tstyly
autumnally	tmnlly
auxetically	xtclly
auxiliarly	xlrly
auxinically	xnclly
availingly	vlngly
avalanche	vlnch
avariciously	vrcsly
avengingly	vngngly
average	vrg
averagely	vrgly
avertedly	vrtdly
avidiously	vdsly
avoidably	vdbly
avowably	vwbly
avowedly	vwdly
awakeningly	wknngly
awareness	wrnss
awesomely	wsmly
awkwardly	wkwrdly
axially	xlly
axiologically	xlgclly
axiomatically	xmtclly
azimuth	zmth
azimuthally	zmthlly
babe	bb
babies	bbs
babishly	bbshly
baboon	bbn
babushka	bbshk
baby	bby
babyishly	bbyshly
bachelorly	bchlrly
back	bck
backbone	bckbn
backdrop	bckdrp
background	bckgrnd
backpack	bckpck
bacon	bcn
bacterially	bctrlly
baddishly	bddshly
badge	bdg
badger	bdgr
badgerly	bdgrly
badly	bdly
bafflement	bfflmnt
baggage	bggg
baggily	bggly
bagpipe	bgpp
bail	bl
bairnly	brnly
baker	bkr
bakerly	bkrly
bakery	bkry
bakeware	bkwr
bakingly	bkngly
balaclava	blclv
balalaika	bllk
balance	blnc
balcony	blcny
baldly	bldly
balefully	blflly
balkingly	blkngly
ball	bll
ballet	bllt
balloon	blln
ballpark	bllprk
balmily	blmly
bamboo	bmb
banally	bnlly
banana	bnn
band	bnd
bandana	bndn
bandanna	bndnn
bandolier	bndlr
banefully	bnflly
bangle	bngl
banjo	bnj
bank	bnk
bankbook	bnkbk
banker	bnkr
banquette	bnqtt
baobab	bbb
barbarously	brbrsly
barbeque	brbq
barber	brbr
barbiturate	brbtrt
barefacedly	brfcdly
barge	brg
baritone	brtn
barkingly	brkngly
barometer	brmtr
barracks	brrcks
barrenly	brrnly
barruly	brrly
barstool	brstl
basally	bslly
baseball	bsbll
baselessly	bslssly
basely	bsly
basement	bsmnt
bashfully	bshflly
basically	bsclly
basin	bsn
basket	bskt
basketball	bsktbll
bass	bss
bassinet	bssnt
bassoon	bssn
bastardly	bstrdly
bath	bth
bather	bthr
bathhouse	bthhs
bathrobe	bthrb
bathroom	bthrm
bathtub	bthtb
battery	bttry
batting	bttng
battleship	bttlshp
bawdily	bwdly
bayardly	byrdly
bayou	by
beam	bm
beamily	bmly
beamingly	bmngly
bean	bn
beanstalk	bnstlk
bearably	brbly
beastily	bstly
beastlily	bstlly
beatifically	btfclly
beautiful	btfl
beautifully	btflly
beauty	bty
beaver	bvr
becomingly	bcmngly
bed	bd
bedroom	bdrm
beds	bds
beech	bch
beef	bf
beefily	bfly
beerily	brly
beerishly	brshly
beet	bt
beetle	btl
beggar	bggr
beggarly	bggrly
beggingly	bggngly
beginner	bgnnr
beginning	bgnnng
begonia	bgn
beguilingly	bglngly
behavior	bhvr
beheading	bhdng
behest	bhst
behoovefully	bhvflly
behoovingly	bhvngly
belatedly	bltdly
belfry	blfry
belief	blf
believe	blv
believingly	blvngly
bellicosely	bllcsly
bellows	bllws
bells	blls
belt	blt
belyingly	blyngly
bemoaningly	bmnngly
bemusedly	bmsdly
beneficially	bnfclly
beneficiary	bnfcry
benefit	bnft
benignly	bngnly
beret	brt
berry	brry
beseemingly	bsmngly
beseemly	bsmly
besiegingly	bsgngly
besottedly	bsttdly
bestseller	bstsllr
beverage	bvrg
beverly	bvrly
bewailingly	bwlngly
beyond	bynd
biannually	bnnlly
biaxially	bxlly
biblically	bblclly
bibliophily	bblphly
bibliopoly	bblply
bibulously	bblsly
biconically	bcnclly
bicycle	bcycl
biddably	bddbly
bidet	bdt
bienly	bnly
bifariously	bfrsly
bifidly	bfdly
bifilarly	bflrly
bifocals	bfcls
bifurcately	bfrctly
big-rig	bg-rg
bigamously	bgmsly
bigotedly	bgtdly
bihourly	bhrly
bijou	bj
bikes	bks
bikini	bkn
bilaterally	bltrlly
bilingually	blnglly
biliously	blsly
billboard	bllbrd
billiardly	bllrdly
billy	blly
bimanually	bmnlly
bimonthly	bmnthly
binately	bntly
binocularly	bnclrly
binomially	bnmlly
biology	blgy
bionomically	bnmclly
bipartitely	bprttly
bipinnately	bpnntly
biplane	bpln
biquarterly	bqrtrly
birdbath	brdbth
birdcage	brdcg
birdhouse	brdhs
birds	brds
birth	brth
birthday	brthdy
biserially	bsrlly
biseriately	bsrtly
bisexually	bsxlly
biternately	btrntly
bitingly	btngly
bitterly	bttrly
biweekly	bwkly
biyearly	byrly
bizarrely	bzrrly
blackboard	blckbrd
blackfish	blckfsh
blackly	blckly
bladder	blddr
blade	bld
blamably	blmbly
blamefully	blmflly
blamingly	blmngly
blandly	blndly
blank	blnk
blanket	blnkt
blankly	blnkly
blatantly	bltntly
blately	bltly
blazer	blzr
blazingly	blzngly
bleakly	blkly
bleatingly	bltngly
blessedly	blssdly
blight	blght
blind	blnd
blindedly	blnddly
blinker	blnkr
blister	blstr
blithely	blthly
blizzard	blzzrd
block	blck
blocker	blckr
blolly	bllly
bloodflow	bldflw
bloom	blm
bloomers	blmrs
blossom	blssm
blouse	bls
blow	blw
blowfly	blwfly
blowgun	blwgn
blowhole	blwhl
blueberry	blbrry
bluffly	blffly
bluntly	blntly
boastfully	bstflly
boatload	btld
boatly	btly
boatyard	btyrd
bobbishly	bbbshly
bobcat	bbct
bobfly	bbfly
bodaciously	bdcsly
body	bdy
bog	bg
boisterously	bstrsly
bolero	blr
bolly	blly
bomber	bmbr
bonairly	bnrly
bondsman	bndsmn
bonelessly	bnlssly
bongo	bng
bonnet	bnnt
bonnily	bnnly
bonus	bns
boobily	bbly
boogeyman	bgymn
book	bk
bookcase	bkcs
bookend	bknd
bookishly	bkshly
booklet	bklt
booster	bstr
bootlessly	btlssly
boots	bts
boozily	bzly
border	brdr
bore	br
boringly	brngly
bosom	bsm
botanically	btnclly
botany	btny
botchedly	btchdly
botcherly	btchrly
botchily	btchly
botfly	btfly
bottle	bttl
bottling	bttlng
bottom	bttm
bottom-line	bttm-ln
boudoir	bdr
bough	bgh
bounceably	bncbly
bouncingly	bncngly
boundary	bndry
boundedly	bnddly
boundly	bndly
bounteously	bntsly
bountifully	bntflly
bovinely	bvnly
bow	bw
bower	bwr
bowingly	bwngly
bowl	bwl
bowler	bwlr
bowling	bwlng
bowly	bwly
bowtie	bwt
box	bx
boxer	bxr
boxspring	bxsprng
boyfriend	byfrnd
boyishly	byshly
brace	brc
bracelet	brclt
bracingly	brcngly
bracket	brckt
brake	brk
brambly	brmbly
branch	brnch
brand	brnd
brandy	brndy
brass	brss
brassiere	brssr
brassily	brssly
bratwurst	brtwrst
brave	brv
bravely	brvly
brawly	brwly
brazenly	brznly
bread	brd
breadcrumb	brdcrmb
breakably	brkbly
breakfast	brkfst
breakpoint	brkpnt
breastplate	brstplt
breeze	brz
breezily	brzly
bremely	brmly
bribery	brbry
brick	brck
brickly	brckly
bridally	brdlly
bridely	brdly
bridge	brdg
brief	brf
briefly	brfly
briefs	brfs
brightly	brghtly
brilliant	brllnt
brimfully	brmflly
briskly	brskly
bristly	brstly
british	brtsh
britishly	brtshly
brittlely	brttlly
broccoli	brccl
brochure	brchr
broiler	brlr
broilingly	brlngly
brokenly	brknly
broker	brkr
bronchitis	brnchts
bronco	brnc
bronze	brnz
brooch	brch
broodingly	brdngly
broom	brm
brother	brthr
brotherly	brthrly
brow	brw
brown	brwn
brownly	brwnly
brush	brsh
brushfire	brshfr
brushing	brshng
brusquely	brsqly
brutally	brtlly
brutely	brtly
brutishly	brtshly
bubble	bbbl
bubbly	bbbly
buccally	bcclly
bucket	bckt
buckishly	bckshly
buckle	bckl
bucolically	bclclly
buddy	bddy
budget	bdgt
buffer	bffr
buffet	bfft
buggy	bggy
bugle	bgl
building	bldng
bulb	blb
bulldozer	blldzr
bullishly	bllshly
bumper	bmpr
bumpily	bmply
bumpingly	bmpngly
bumpkinly	bmpknly
bumptiously	bmptsly
bunch	bnch
bunchily	bnchly
bungalow	bnglw
bungerly	bngrly
bunghole	bnghl
bunkhouse	bnkhs
buoyantly	byntly
burglar	brglr
burlesque	brlsq
burlesquely	brlsqly
burlily	brlly
burn	brn
burn-out	brn-t
burningly	brnngly
burst	brst
bus	bs
bush	bsh
bushes	bshs
bushily	bshly
business	bsnss
bust	bst
bustle	bstl
butane	btn
butcher	btchr
butter	bttr
butterfly	bttrfly
button	bttn
buxomly	bxmly
buyer	byr
buzzard	bzzrd
buzzardly	bzzrdly
buzzingly	bzzngly
byously	bysly
c-clamp	c-clmp
cabbage	cbbg
cabin	cbn
cabinet	cbnt
cable	cbl
caboose	cbs
cactus	ccts
cadaverously	cdvrsly
caddishly	cddshly
caddy	cddy
cadet	cdt
cadgily	cdgly
caecally	cclly
caenostyly	cnstyly
caerphilly	crphlly
cafe	cf
caftan	cftn
cagily	cgly
cajolingly	cjlngly
cake	ck
cakes	cks
calamitously	clmtsly
calcareously	clcrsly
calcification	clcfctn
calculation	clcltn
calculator	clcltr
calculus	clcls
calendar	clndr
calico	clc
caliginously	clgnsly
callously	cllsly
calm	clm
calmingly	clmngly
calmly	clmly
calumniously	clmnsly
camel	cml
cameo	cm
camera	cmr
camp	cmp
campaign	cmpgn
campanile	cmpnl
canal	cnl
cancer	cncr
cancerously	cncrsly
candelabra	cndlbr
candidate	cnddt
candidly	cnddly
candle	cndl
candy	cndy
cankeredly	cnkrdly
cannibally	cnnblly
cannily	cnnly
cannon	cnnn
canon	cnn
canonically	cnnclly
canopy	cnpy
canorously	cnrsly
canteen	cntn
cantily	cntly
cantingly	cntngly
canvas	cnvs
capably	cpbly
capaciously	cpcsly
capercally	cprclly
caperingly	cprngly
capillarily	cpllrly
capital	cptl
capitally	cptlly
capitularly	cptlrly
capitulation	cptltn
capon	cpn
cappelletti	cpplltt
cappuccino	cppccn
capriciously	cprcsly
captain	cptn
captainly	cptnly
captiously	cptsly
captivately	cptvtly
caravan	crvn
carbon	crbn
card	crd
cardboard	crdbrd
cardigan	crdgn
cardinally	crdnlly
cardiomegaly	crdmgly
care	cr
career	crr
careeringly	crrngly
carefully	crflly
carelessly	crlssly
caressively	crssvly
carload	crld
carnation	crntn
carousingly	crsngly
carpenter	crpntr
carpet	crpt
carpingly	crpngly
carport	crprt
carriage	crrg
carrier	crrr
carrot	crrt
carry	crry
cars	crs
cartilage	crtlg
cartload	crtld
cartridge	crtrdg
cascade	cscd
case	cs
casement	csmnt
cash	csh
cashier	cshr
casino	csn
cassabully	cssblly
casserole	cssrl
cassock	cssck
castanet	cstnt
castanets	cstnts
castle	cstl
catacomb	ctcmb
catamaran	ctmrn
catch	ctch
catchfly	ctchfly
category	ctgry
caterpillar	ctrpllr
cathedral	cthdrl
catholicly	cthlcly
catonically	ctnclly
cats	cts
catsup	ctsp
cattily	cttly
cattishly	cttshly
cattle	cttl
caudally	cdlly
cauliflower	clflwr
causally	cslly
causelessly	cslssly
caustically	cstclly
causticly	cstcly
cautelously	ctlsly
cautiously	ctsly
cavalierly	cvlrly
cave	cv
cavernously	cvrnsly
cavilingly	cvlngly
cd	cd
ceiling	clng
celebration	clbrtn
celeriac	clrc
celery	clry
celeste	clst
celestially	clstlly
cell	cll
cellar	cllr
cellularly	clllrly
celtically	cltclly
cement	cmnt
cemetery	cmtry
cenotaph	cntph
censoriously	cnsrsly
censurably	cnsrbly
census	cnss
center	cntr
centimeter	cntmtr
centrally	cntrlly
centuply	cntply
centurion	cntrn
cephalopod	cphlpd
ceramic	crmc
cerebrally	crbrlly
ceremonially	crmnlly
certainly	crtnly
certifiably	crtfbly
certification	crtfctn
cespitosely	csptsly
cessantly	cssntly
cesspool	csspl
chafe	chf
chain	chn
chainstay	chnsty
chair	chr
chairlift	chrlft
chairman	chrmn
chairperson	chrprsn
chalet	chlt
chalice	chlc
chalk	chlk
challenge	chllng
champion	chmpn
chance	chnc
chandelier	chndlr
change	chng
changeably	chngbly
channel	chnnl
chaos	chs
chaotically	chtclly
chap	chp
chapel	chpl
chapter	chptr
character	chrctr
charcoaly	chrcly
chard	chrd
charge	chrg
chargeably	chrgbly
charitably	chrtbly
charity	chrty
charlatan	chrltn
charles	chrls
charmedly	chrmdly
chart	chrt
chastity	chstty
chasuble	chsbl
chateau	cht
chattily	chttly
chauffeur	chffr
chauvinist	chvnst
cheaply	chply
cheatingly	chtngly
check	chck
checkroom	chckrm
cheek	chk
cheekily	chkly
cheerfully	chrflly
cheerily	chrly
cheeringly	chrngly
cheetah	chth
chemical	chmcl
chemically	chmclly
chemistry	chmstry
cheque	chq
cherries	chrrs
cherry	chrry
chess	chss
chest	chst
chestily	chstly
chicken	chckn
chickens	chckns
chicory	chcry
chidingly	chdngly
chiefly	chfly
chiffonier	chffnr
child	chld
childhood	chldhd
childly	chldly
children	chldrn
chill	chll
chillily	chllly
chilly	chlly
chime	chm
chimpanzee	chmpnz
chipmunk	chpmnk
chiromegaly	chrmgly
chirpily	chrply
chiselly	chslly
chit-chat	cht-cht
chivalry	chvlry
chive	chv
chocolate	chclt
choice	chc
choicely	chcly
choker	chkr
chokingly	chkngly
cholericly	chlrcly
choosingly	chsngly
chopstick	chpstck
chorally	chrlly
chordally	chrdlly
chowder	chwdr
christly	chrstly
chrome	chrm
chronometer	chrnmtr
chub	chb
chubbily	chbbly
chug	chg
chummily	chmmly
chunkily	chnkly
church	chrch
churchly	chrchly
churn	chrn
chylocauly	chylcly
cicada	ccd
cicely	ccly
cicely	ccly
cigarette	cgrtt
ciliately	cltly
cinema	cnm
circinately	crcntly
circle	crcl
circuitously	crctsly
circularly	crclrly
circulation	crcltn
cirrus	crrs
citizenly	ctznly
citizenship	ctznshp
city	cty
civically	cvclly
civilisation	cvlstn
clammily	clmmly
clamorously	clmrsly
clank	clnk
clapboard	clpbrd
clarinet	clrnt
clasp	clsp
class	clss
classic	clssc
classroom	clssrm
clause	cls
clavately	clvtly
clave	clv
clavicle	clvcl
clavier	clvr
cleaner	clnr
cleanly	clnly
cleat	clt
cleavage	clvg
cleavingly	clvngly
clef	clf
clemently	clmntly
clerically	clrclly
clerk	clrk
clerkly	clrkly
cleverly	clvrly
client	clnt
cliff	clff
climate	clmt
climb	clmb
clinically	clnclly
clip	clp
clipper	clppr
cliquishly	clqshly
cloak	clk
cloakedly	clkdly
cloakroom	clkrm
clock	clck
clockwork	clckwrk
cloddily	clddly
cloggily	clggly
clogs	clgs
cloister	clstr
cloisterly	clstrly
closely	clsly
cloth	clth
clothes	clths
clothing	clthng
cloudburst	cldbrst
cloudy	cldy
clouterly	cltrly
cloyingly	clyngly
club	clb
clubbily	clbbly
clue	cl
clumsily	clmsly
clutch	cltch
co-producer	c-prdcr
coach	cch
coactively	cctvly
coadunatively	cdntvly
coaxially	cxlly
coaxingly	cxngly
cob	cb
cobbly	cbbly
cobweb	cbwb
cockily	cckly
cockpit	cckpt
cockroach	cckrch
cocksurely	ccksrly
cocktail	ccktl
cocoa	cc
codon	cdn
codpiece	cdpc
coequally	cqlly
coercibly	crcbly
coercively	crcvly
coetaneously	ctnsly
coeternally	ctrnlly
coevally	cvlly
coevolution	cvltn
coffee	cff
coffin	cffn
cogently	cgntly
coggly	cggly
cogitantly	cgtntly
cogitatively	cgttvly
cognitively	cgntvly
cognizably	cgnzbly
coherently	chrntly
cohesively	chsvly
coinsurance	cnsrnc
cold	cld
coldly	cldly
coliseum	clsm
collection	cllctn
college	cllg
collegiately	cllgtly
collinearly	cllnrly
collingly	cllngly
collision	cllsn
colloquia	cllq
colloquially	cllqlly
collusively	cllsvly
colon	cln
colonially	clnlly
colonisation	clnstn
colony	clny
color	clr
colorably	clrbly
colorfully	clrflly
colossally	clsslly
coltishly	cltshly
column	clmn
columnist	clmnst
comatosely	cmtsly
comb	cmb
combat	cmbt
combatively	cmbtvly
combination	cmbntn
combine	cmbn
combinedly	cmbndly
comelily	cmlly
comely	cmly
comfort	cmfrt
comfortable	cmfrtbl
comic	cmc
comically	cmclly
comma	cmm
command	cmmnd
comment	cmmnt
commerce	cmmrc
commercial	cmmrcl
commission	cmmssn
committee	cmmtt
commodiously	cmmdsly
common	cmmn
commonly	cmmnly
communally	cmmnlly
communicant	cmmncnt
communication	cmmnctn
community	cmmnty
compactly	cmpctly
company	cmpny
comparably	cmprbly
comparison	cmprsn
compassion	cmpssn
competition	cmpttn
competitor	cmpttr
complaint	cmplnt
complement	cmplmnt
completely	cmpltly
complex	cmplx
complexly	cmplxly
compliably	cmplbly
comply	cmply
component	cmpnnt
composedly	cmpsdly
composer	cmpsr
compositely	cmpstly
composition	cmpstn
compost	cmpst
compulsion	cmplsn
computably	cmptbly
computer	cmptr
comradely	cmrdly
comradeship	cmrdshp
concavely	cncvly
concealedly	cncldly
concededly	cncddly
conceitedly	cnctdly
conceivably	cncvbly
concentrate	cncntrt
concept	cncpt
concern	cncrn
concisely	cncsly
conclusion	cnclsn
concrete	cncrt
concretely	cncrtly
condignly	cndgnly
condition	cndtn
condominium	cndmnm
condor	cndr
conductor	cndctr
cone	cn
conference	cnfrnc
confidence	cnfdnc
confinedly	cnfndly
confirmation	cnfrmtn
conflict	cnflct
confusably	cnfsbly
confusedly	cnfsdly
confusion	cnfsn
congenially	cngnlly
congo	cng
congress	cngrss
congruously	cngrsly
conically	cnclly
conicopoly	cncply
conifer	cnfr
conjoinedly	cnjndly
conjointly	cnjntly
conjugally	cnjglly
conjugately	cnjgtly
connately	cnntly
connection	cnnctn
connotively	cnntvly
conoidally	cndlly
conoidically	cndclly
consciously	cnscsly
consent	cnsnt
consequence	cnsqnc
consideration	cnsdrtn
consist	cnsst
consolably	cnslbly
consonant	cnsnnt
conspirator	cnsprtr
constant	cnstnt
consul	cnsl
consulate	cnslt
consumedly	cnsmdly
contact	cntct
contagion	cntgn
contagiously	cntgsly
content	cntnt
contest	cntst
context	cntxt
continent	cntnnt
continually	cntnlly
continuately	cntntly
continuedly	cntndly
continuously	cntnsly
contract	cntrct
contrarily	cntrrly
contrary	cntrry
contribution	cntrbtn
contritely	cntrtly
control	cntrl
contumely	cntmly
convection	cnvctn
convenably	cnvnbly
conversation	cnvrstn
conversely	cnvrsly
convert	cnvrt
convertible	cnvrtbl
convexedly	cnvxdly
convexly	cnvxly
convivially	cnvvlly
convolutely	cnvltly
cooingly	cngly
cooking	ckng
cookishly	ckshly
coolheadedly	clhddly
coolingly	clngly
coolly	clly
coonily	cnly
coonskin	cnskn
cooruptibly	crptbly
cop-out	cp-t
copiously	cpsly
copper	cppr
copulatively	cpltvly
copy	cpy
copyright	cpyrght
copywriter	cpywrtr
cordately	crdtly
cordially	crdlly
corduroy	crdry
cork	crk
cormorant	crmrnt
corn	crn
corner	crnr
cornerstone	crnrstn
cornet	crnt
corporally	crprlly
corporately	crprtly
corral	crrl
correctly	crrctly
corridor	crrdr
corrigibly	crrgbly
corrosively	crrsvly
corruption	crrptn
corruptly	crrptly
corsage	crsg
cortically	crtclly
cosily	csly
cosmically	csmclly
cost	cst
costally	cstlly
costively	cstvly
costly	cstly
costume	cstm
cot	ct
cottage	cttg
cotton	cttn
cougar	cgr
cough	cgh
council	cncl
councilman	cnclmn
councilor	cnclr
count	cnt
countably	cntbly
counterly	cntrly
counterpaly	cntrply
countess	cntss
